study,treatment,pid,m3_b3
1,m3,HSACH,0.600000024
1,m3,HWAXH,0.400000006
1,m3,HWHKM,0.75
1,m3,HXXGB,0.039999999
1,m3,IEZOP,0.5
1,m3,IKPCK,0.300000012
1,m3,IXIJM,0.600000024
1,m3,JDMRD,0.400000006
1,m3,JERHM,0.920000017
1,m3,JJWQH,1
1,m3,KGDEO,0.600000024
1,m3,KMTVC,0.980000019
1,m3,KPQUF,0.800000012
1,m3,KXHZX,0.699999988
1,m3,KYQVB,0.699999988
1,m3,LCSDI,0.959999979
1,m3,LJPBD,0.899999976
1,m3,LMKYB,0.400000006
1,m3,LVFGB,0.800000012
1,m3,LXMYX,0.600000024
1,m3,LYXBB,1
1,m3,MLVJZ,1
1,m3,MMOYA,1
1,m3,MNRLM,0.340000004
1,m3,MQOED,0.980000019
1,m3,MREFB,0.200000003
1,m3,MUPMA,0.899999976
1,m3,MYWHH,0.75
1,m3,NLTVU,0.800000012
1,m3,NQYQN,0.400000006
1,m3,OAKPV,0.349999994
1,m3,OCSVL,0.5
1,m3,ODNWH,0
1,m3,OOJMX,0.449999988
1,m3,OPAXV,0.800000012
1,m3,PEOLU,0.899999976
1,m3,PHTZT,0.889999986
1,m3,POXNY,0.550000012
1,m3,PYBWP,1
1,m3,PZCZV,0.699999988
1,m3,QECXS,0.899999976
1,m3,QHNUD,0.600000024
1,m3,QKAZU,0.699999988
1,m3,QRVVY,0.550000012
1,m3,QVBAP,1
1,m3,QXEPS,0.400000006
1,m3,REAVM,0.569999993
1,m3,RLFXE,0.980000019
1,m3,RRFWI,1
1,m3,RRKTM,1
1,m3,RSFYN,0.699999988
1,m3,SIBYL,0.600000024
1,m3,SLETN,0.5
1,m3,SLKSA,0.800000012
1,m3,SNJRM,0.800000012
1,m3,TPCGC,1
1,m3,USYLJ,0.800000012
1,m3,UUYLF,0.800000012
1,m3,UWXVV,0.699999988
1,m3,VTIEK,1
1,m3,VTWWG,0.800000012
1,m3,VWIIZ,0.100000001
1,m3,VWQJN,0.899999976
1,m3,VWTHZ,0.850000024
1,m3,WOZHY,0.899999976
1,m3,WSKMW,0.600000024
1,m3,WTZSC,0.400000006
1,m3,WVBUA,0.5
1,m3,XCRTP,0.699999988
1,m3,XYJIX,0.600000024
1,m3,YEXRD,0.150000006
1,m3,YGDVU,0.5
1,m3,YHEMK,0.800000012
1,m3,YHGBZ,0.050000001
1,m3,YIPBA,0.800000012
1,m3,YSSFZ,0.850000024
1,m3,ZCZJN,0.899999976
1,m3,ZDOYC,0.600000024
2,m2,AGNPX,
2,m2,AIRBM,
2,m2,ARLEI,
2,m2,BBECX,
2,m2,BHPTI,
2,m2,BIYDE,
2,m2,BKCFP,
2,m2,BNPKB,
2,m2,BZRFC,
2,m2,CHIBT,
2,m2,CHJWI,
2,m2,COGEW,
2,m2,CUCGB,
2,m2,CYLLX,
2,m2,CYWGM,
2,m2,DBEOL,
2,m2,DCRKI,
2,m2,DLIYI,
2,m2,DOPFI,
2,m2,DPJYN,
2,m2,DRIUI,
2,m2,DSMMR,
2,m2,DUYEG,
2,m2,EDRGS,
2,m2,EFVYH,
2,m2,EMHKN,
2,m2,FDEEF,
2,m2,FGOQM,
2,m2,FTHMZ,
2,m2,FZDWW,
2,m2,FZMNK,
2,m2,GLFJZ,
2,m2,GZRWQ,
2,m2,HARNQ,
2,m2,HBEWR,
2,m2,HBQXZ,
2,m2,HEJKB,
2,m2,HFNSC,
2,m2,HJBDQ,
2,m2,HJEZS,
2,m2,IBCCH,
2,m2,ITXLG,
2,m2,IXRCJ,
2,m2,JAYYJ,
2,m2,JDVOM,
2,m2,JFFDX,
2,m2,JJAGL,
2,m2,JUSNB,
2,m2,JVWRC,
2,m2,JXCTF,
2,m2,KBPUC,
2,m2,KCPRJ,
2,m2,KIYTT,
2,m2,KRWHP,
2,m2,KSQVW,
2,m2,LFMEQ,
2,m2,LYFOV,
2,m2,MHKGW,
2,m2,MLXQY,
2,m2,MPQVV,
2,m2,MWDSM,
2,m2,MWTSC,
2,m2,MXZEG,
2,m2,NDNSG,
2,m2,NERZB,
2,m2,OEXJH,
2,m2,OJYDQ,
2,m2,OLPSA,
2,m2,OPSPN,
2,m2,OTJYA,
2,m2,PDSGL,
2,m2,PGVWP,
2,m2,PPZPY,
2,m2,PVBVQ,
2,m2,PWJJQ,
2,m2,QCTQV,
2,m2,QRNNV,
2,m2,QYBZC,
2,m2,RJKJF,
2,m2,RKDZV,
2,m2,RKTOH,
2,m2,RQOBK,
2,m2,RTXTZ,
2,m2,RZIII,
2,m2,SKXRF,
2,m2,SNNRO,
2,m2,SOOYS,
2,m2,SVOWQ,
2,m2,SXMNT,
2,m2,TDFNU,
2,m2,TDLLY,
2,m2,TICTG,
2,m2,TLEEF,
2,m2,TNUTC,
2,m2,TPMTB,
2,m2,TQUSO,
2,m2,TVNAD,
2,m2,TYDLF,
2,m2,TZHAK,
2,m2,UFEYS,
2,m2,UONRK,
2,m2,UXMBH,
2,m2,UYSCS,
2,m2,VBFGR,
2,m2,VEOXL,
2,m2,VHWFI,
2,m2,VQQGL,
2,m2,VSYYJ,
2,m2,WEESC,
2,m2,WEZFA,
2,m2,WOVCG,
2,m2,WTOCY,
2,m2,WUKAA,
2,m2,XDCSW,
2,m2,XEPOZ,
2,m2,XJMAV,
2,m2,XMREM,
2,m2,XPQFY,
2,m2,YIQTI,
2,m2,YJPRG,
2,m2,YKWAH,
2,m2,YMKYG,
2,m2,YPCFD,
2,m2,YQXIE,
2,m2,YUMWF,
2,m2,YYYQL,
2,m2,ZHMDL,
2,m2,ZJGNP,
2,m3,AFKFA,0.5
2,m3,AYJQH,0.100000001
2,m3,BGRYT,1
2,m3,BNSRX,0.850000024
2,m3,BRCTI,0.699999988
2,m3,BUTQG,0.050000001
2,m3,BXBPO,0.800000012
2,m3,BYUFT,0.100000001
2,m3,CQEXW,0.300000012
2,m3,CTDTP,0.300000012
2,m3,CTPQT,0.150000006
2,m3,DDLIA,0.300000012
2,m3,DMIIF,0.050000001
2,m3,DOPUB,0
2,m3,EALGQ,0.050000001
2,m3,EXHNR,0.150000006
2,m3,FFVHW,0.200000003
2,m3,FJTDI,0.400000006
2,m3,FOMBY,0.5
2,m3,FRHWQ,0.050000001
2,m3,GCPKB,1
2,m3,GFHGK,0.400000006
2,m3,GLYRR,0.800000012
2,m3,GOQTH,0.200000003
2,m3,HDWQD,0.600000024
2,m3,HKTWT,0.449999988
2,m3,HSACH,0.699999988
2,m3,HWAXH,0.100000001
2,m3,HWHKM,0.100000001
2,m3,HXXGB,0.01
2,m3,IEZOP,0.100000001
2,m3,IKPCK,0.400000006
2,m3,IXIJM,0
2,m3,JDMRD,0.200000003
2,m3,JERHM,0.100000001
2,m3,JJWQH,0.150000006
2,m3,KGDEO,0.300000012
2,m3,KMTVC,0.899999976
2,m3,KPQUF,0
2,m3,KXHZX,0.400000006
2,m3,KYQVB,0.02
2,m3,LCSDI,0.699999988
2,m3,LJPBD,0.200000003
2,m3,LMKYB,0
2,m3,LVFGB,0.200000003
2,m3,LXMYX,0.330000013
2,m3,LYXBB,0.200000003
2,m3,MLVJZ,0
2,m3,MMOYA,0.150000006
2,m3,MNRLM,0.100000001
2,m3,MQOED,0.899999976
2,m3,MREFB,0.200000003
2,m3,MUPMA,0.5
2,m3,MYWHH,0.5
2,m3,NLTVU,0.150000006
2,m3,NQYQN,0.050000001
2,m3,OAKPV,0.100000001
2,m3,OCSVL,0.699999988
2,m3,ODNWH,0.400000006
2,m3,OOJMX,0.029999999
2,m3,OPAXV,0.100000001
2,m3,PEOLU,0.300000012
2,m3,PHTZT,0.349999994
2,m3,POXNY,0.150000006
2,m3,PYBWP,0.699999988
2,m3,PZCZV,0.150000006
2,m3,QECXS,0
2,m3,QHNUD,0.100000001
2,m3,QKAZU,0.600000024
2,m3,QRVVY,0.449999988
2,m3,QVBAP,0.699999988
2,m3,QXEPS,0.140000001
2,m3,REAVM,0.180000007
2,m3,RLFXE,0.01
2,m3,RRFWI,0.300000012
2,m3,RRKTM,0.699999988
2,m3,RSFYN,0.300000012
2,m3,SIBYL,0.400000006
2,m3,SLETN,0.300000012
2,m3,SLKSA,0.050000001
2,m3,SNJRM,0.800000012
2,m3,TPCGC,0.800000012
2,m3,USYLJ,0
2,m3,UUYLF,0.100000001
2,m3,UWXVV,0.850000024
2,m3,VTIEK,0.600000024
2,m3,VTWWG,0.100000001
2,m3,VWIIZ,0.400000006
2,m3,VWQJN,0.800000012
2,m3,VWTHZ,0.050000001
2,m3,WOZHY,0.899999976
2,m3,WSKMW,0.200000003
2,m3,WTZSC,0.400000006
2,m3,WVBUA,0.300000012
2,m3,XCRTP,0
2,m3,XYJIX,0.100000001
2,m3,YEXRD,0.100000001
2,m3,YGDVU,0.200000003
2,m3,YHEMK,0.200000003
2,m3,YHGBZ,0.699999988
2,m3,YIPBA,0.200000003
2,m3,YSSFZ,0.5
2,m3,ZCZJN,0.600000024
2,m3,ZDOYC,0.200000003
3,m2,AGNPX,
3,m2,AIRBM,
3,m2,ARLEI,
3,m2,BBECX,
3,m2,BHPTI,
3,m2,BIYDE,
3,m2,BKCFP,
3,m2,BNPKB,
3,m2,BZRFC,
3,m2,CHIBT,
3,m2,CHJWI,
3,m2,COGEW,
3,m2,CUCGB,
3,m2,CYLLX,
3,m2,CYWGM,
3,m2,DBEOL,
3,m2,DCRKI,
3,m2,DLIYI,
3,m2,DOPFI,
3,m2,DPJYN,
3,m2,DRIUI,
3,m2,DSMMR,
3,m2,DUYEG,
3,m2,EDRGS,
3,m2,EFVYH,
3,m2,EMHKN,
3,m2,FDEEF,
3,m2,FGOQM,
3,m2,FTHMZ,
3,m2,FZDWW,
3,m2,FZMNK,
3,m2,GLFJZ,
3,m2,GZRWQ,
3,m2,HARNQ,
3,m2,HBEWR,
3,m2,HBQXZ,
3,m2,HEJKB,
3,m2,HFNSC,
3,m2,HJBDQ,
3,m2,HJEZS,
3,m2,IBCCH,
3,m2,ITXLG,
3,m2,IXRCJ,
3,m2,JAYYJ,
3,m2,JDVOM,
3,m2,JFFDX,
3,m2,JJAGL,
3,m2,JUSNB,
3,m2,JVWRC,
3,m2,JXCTF,
3,m2,KBPUC,
3,m2,KCPRJ,
3,m2,KIYTT,
3,m2,KRWHP,
3,m2,KSQVW,
3,m2,LFMEQ,
3,m2,LYFOV,
3,m2,MHKGW,
3,m2,MLXQY,
3,m2,MPQVV,
3,m2,MWDSM,
3,m2,MWTSC,
3,m2,MXZEG,
3,m2,NDNSG,
3,m2,NERZB,
3,m2,OEXJH,
3,m2,OJYDQ,
3,m2,OLPSA,
3,m2,OPSPN,
3,m2,OTJYA,
3,m2,PDSGL,
3,m2,PGVWP,
3,m2,PPZPY,
3,m2,PVBVQ,
3,m2,PWJJQ,
3,m2,QCTQV,
3,m2,QRNNV,
3,m2,QYBZC,
3,m2,RJKJF,
3,m2,RKDZV,
3,m2,RKTOH,
3,m2,RQOBK,
3,m2,RTXTZ,
3,m2,RZIII,
3,m2,SKXRF,
3,m2,SNNRO,
3,m2,SOOYS,
3,m2,SVOWQ,
3,m2,SXMNT,
3,m2,TDFNU,
3,m2,TDLLY,
3,m2,TICTG,
3,m2,TLEEF,
3,m2,TNUTC,
3,m2,TPMTB,
3,m2,TQUSO,
3,m2,TVNAD,
3,m2,TYDLF,
3,m2,TZHAK,
3,m2,UFEYS,
3,m2,UONRK,
3,m2,UXMBH,
3,m2,UYSCS,
3,m2,VBFGR,
3,m2,VEOXL,
3,m2,VHWFI,
3,m2,VQQGL,
3,m2,VSYYJ,
3,m2,WEESC,
3,m2,WEZFA,
3,m2,WOVCG,
3,m2,WTOCY,
3,m2,WUKAA,
3,m2,XDCSW,
3,m2,XEPOZ,
3,m2,XJMAV,
3,m2,XMREM,
3,m2,XPQFY,
3,m2,YIQTI,
3,m2,YJPRG,
3,m2,YKWAH,
3,m2,YMKYG,
3,m2,YPCFD,
3,m2,YQXIE,
3,m2,YUMWF,
3,m2,YYYQL,
3,m2,ZHMDL,
3,m2,ZJGNP,
3,m3,AFKFA,0.100000001
3,m3,AYJQH,0.050000001
3,m3,BGRYT,0
3,m3,BNSRX,0.5
3,m3,BRCTI,0.5
3,m3,BUTQG,0.25
3,m3,BXBPO,0.75
3,m3,BYUFT,0.129999995
3,m3,CQEXW,0.25
3,m3,CTDTP,0.300000012
3,m3,CTPQT,0.200000003
3,m3,DDLIA,0.25
3,m3,DMIIF,0.200000003
3,m3,DOPUB,0.699999988
3,m3,EALGQ,0.400000006
3,m3,EXHNR,0.050000001
3,m3,FFVHW,0.100000001
3,m3,FJTDI,0.200000003
3,m3,FOMBY,0.699999988
3,m3,FRHWQ,0.5
3,m3,GCPKB,0.600000024
3,m3,GFHGK,0.550000012
3,m3,GLYRR,0.400000006
3,m3,GOQTH,0.300000012
3,m3,HDWQD,0
3,m3,HKTWT,0.400000006
3,m3,HSACH,0.100000001
3,m3,HWAXH,0.600000024
3,m3,HWHKM,0.150000006
3,m3,HXXGB,0.050000001
3,m3,IEZOP,0
3,m3,IKPCK,0.100000001
3,m3,IXIJM,0.5
3,m3,JDMRD,0.300000012
3,m3,JERHM,0.649999976
3,m3,JJWQH,0.400000006
3,m3,KGDEO,0.300000012
3,m3,KMTVC,0.100000001
3,m3,KPQUF,0.600000024
3,m3,KXHZX,0.400000006
3,m3,KYQVB,0.100000001
3,m3,LCSDI,0.699999988
3,m3,LJPBD,0.600000024
3,m3,LMKYB,0.5
3,m3,LVFGB,0.100000001
3,m3,LXMYX,0.150000006
3,m3,LYXBB,0.600000024
3,m3,MLVJZ,0.5
3,m3,MMOYA,0.25
3,m3,MNRLM,0.200000003
3,m3,MQOED,0.600000024
3,m3,MREFB,0.300000012
3,m3,MUPMA,0.300000012
3,m3,MYWHH,0.400000006
3,m3,NLTVU,0.5
3,m3,NQYQN,0.200000003
3,m3,OAKPV,0.100000001
3,m3,OCSVL,0.300000012
3,m3,ODNWH,0.100000001
3,m3,OOJMX,0.400000006
3,m3,OPAXV,0.100000001
3,m3,PEOLU,0.600000024
3,m3,PHTZT,0.100000001
3,m3,POXNY,0.200000003
3,m3,PYBWP,0.200000003
3,m3,PZCZV,0.100000001
3,m3,QECXS,0.150000006
3,m3,QHNUD,0.050000001
3,m3,QKAZU,0.200000003
3,m3,QRVVY,0.200000003
3,m3,QVBAP,0.25
3,m3,QXEPS,0.050000001
3,m3,REAVM,0.239999995
3,m3,RLFXE,0.150000006
3,m3,RRFWI,0.5
3,m3,RRKTM,0.400000006
3,m3,RSFYN,0.300000012
3,m3,SIBYL,0.400000006
3,m3,SLETN,0.600000024
3,m3,SLKSA,0.349999994
3,m3,SNJRM,0.699999988
3,m3,TPCGC,0.899999976
3,m3,USYLJ,0.600000024
3,m3,UUYLF,0.300000012
3,m3,UWXVV,0.5
3,m3,VTIEK,0.699999988
3,m3,VTWWG,0.150000006
3,m3,VWIIZ,0.200000003
3,m3,VWQJN,0.300000012
3,m3,VWTHZ,0.699999988
3,m3,WOZHY,0.050000001
3,m3,WSKMW,0.200000003
3,m3,WTZSC,0.400000006
3,m3,WVBUA,0.400000006
3,m3,XCRTP,0.5
3,m3,XYJIX,0.050000001
3,m3,YEXRD,0.300000012
3,m3,YGDVU,0.100000001
3,m3,YHEMK,0.200000003
3,m3,YHGBZ,0
3,m3,YIPBA,0.150000006
3,m3,YSSFZ,0.02
3,m3,ZCZJN,0.200000003
3,m3,ZDOYC,0.300000012
4,m2,AGNPX,
4,m2,AIRBM,
4,m2,ARLEI,
4,m2,BBECX,
4,m2,BHPTI,
4,m2,BIYDE,
4,m2,BKCFP,
4,m2,BNPKB,
4,m2,BZRFC,
4,m2,CHIBT,
4,m2,CHJWI,
4,m2,COGEW,
4,m2,CUCGB,
4,m2,CYLLX,
4,m2,CYWGM,
4,m2,DBEOL,
4,m2,DCRKI,
4,m2,DLIYI,
4,m2,DOPFI,
4,m2,DPJYN,
4,m2,DRIUI,
4,m2,DSMMR,
4,m2,DUYEG,
4,m2,EDRGS,
4,m2,EFVYH,
4,m2,EMHKN,
4,m2,FDEEF,
4,m2,FGOQM,
4,m2,FTHMZ,
4,m2,FZDWW,
4,m2,FZMNK,
4,m2,GLFJZ,
4,m2,GZRWQ,
4,m2,HARNQ,
4,m2,HBEWR,
4,m2,HBQXZ,
4,m2,HEJKB,
4,m2,HFNSC,
4,m2,HJBDQ,
4,m2,HJEZS,
4,m2,IBCCH,
4,m2,ITXLG,
4,m2,IXRCJ,
4,m2,JAYYJ,
4,m2,JDVOM,
4,m2,JFFDX,
4,m2,JJAGL,
4,m2,JUSNB,
4,m2,JVWRC,
4,m2,JXCTF,
4,m2,KBPUC,
4,m2,KCPRJ,
4,m2,KIYTT,
4,m2,KRWHP,
4,m2,KSQVW,
4,m2,LFMEQ,
4,m2,LYFOV,
4,m2,MHKGW,
4,m2,MLXQY,
4,m2,MPQVV,
4,m2,MWDSM,
4,m2,MWTSC,
4,m2,MXZEG,
4,m2,NDNSG,
4,m2,NERZB,
4,m2,OEXJH,
4,m2,OJYDQ,
4,m2,OLPSA,
4,m2,OPSPN,
4,m2,OTJYA,
4,m2,PDSGL,
4,m2,PGVWP,
4,m2,PPZPY,
4,m2,PVBVQ,
4,m2,PWJJQ,
4,m2,QCTQV,
4,m2,QRNNV,
4,m2,QYBZC,
4,m2,RJKJF,
4,m2,RKDZV,
4,m2,RKTOH,
4,m2,RQOBK,
4,m2,RTXTZ,
4,m2,RZIII,
4,m2,SKXRF,
4,m2,SNNRO,
4,m2,SOOYS,
4,m2,SVOWQ,
4,m2,SXMNT,
4,m2,TDFNU,
4,m2,TDLLY,
4,m2,TICTG,
4,m2,TLEEF,
4,m2,TNUTC,
4,m2,TPMTB,
4,m2,TQUSO,
4,m2,TVNAD,
4,m2,TYDLF,
4,m2,TZHAK,
4,m2,UFEYS,
4,m2,UONRK,
4,m2,UXMBH,
4,m2,UYSCS,
4,m2,VBFGR,
4,m2,VEOXL,
4,m2,VHWFI,
4,m2,VQQGL,
4,m2,VSYYJ,
4,m2,WEESC,
4,m2,WEZFA,
4,m2,WOVCG,
4,m2,WTOCY,
4,m2,WUKAA,
4,m2,XDCSW,
4,m2,XEPOZ,
4,m2,XJMAV,
4,m2,XMREM,
4,m2,XPQFY,
4,m2,YIQTI,
4,m2,YJPRG,
4,m2,YKWAH,
4,m2,YMKYG,
4,m2,YPCFD,
4,m2,YQXIE,
4,m2,YUMWF,
4,m2,YYYQL,
4,m2,ZHMDL,
4,m2,ZJGNP,
4,m3,AFKFA,0.3
4,m3,AYJQH,0.1
4,m3,BGRYT,1
4,m3,BNSRX,0.85
4,m3,BRCTI,0.4
4,m3,BUTQG,0.3
4,m3,BXBPO,0.2
4,m3,BYUFT,0.06
4,m3,CQEXW,0.2
4,m3,CTDTP,0.6
4,m3,CTPQT,0.2
4,m3,DDLIA,0.25
4,m3,DMIIF,0.05
4,m3,DOPUB,0.1
4,m3,EALGQ,0.1
4,m3,EXHNR,0.1
4,m3,FFVHW,0.05
4,m3,FJTDI,0.15
4,m3,FOMBY,0.2
4,m3,FRHWQ,0
4,m3,GCPKB,0.4
4,m3,GFHGK,0.25
4,m3,GLYRR,0.2
4,m3,GOQTH,0.05
4,m3,HDWQD,0.2
4,m3,HKTWT,0.35
4,m3,HSACH,0.4
4,m3,HWAXH,0.2
4,m3,HWHKM,0.05
4,m3,HXXGB,0.01
4,m3,IEZOP,0
4,m3,IKPCK,0.2
4,m3,IXIJM,0.25
4,m3,JDMRD,0.1
4,m3,JERHM,0.3
4,m3,JJWQH,0.9
4,m3,KGDEO,0.3
4,m3,KMTVC,0.4
4,m3,KPQUF,0
4,m3,KXHZX,0.4
4,m3,KYQVB,0.05
4,m3,LCSDI,0.25
4,m3,LJPBD,0.4
4,m3,LMKYB,0
4,m3,LVFGB,0.05
4,m3,LXMYX,0.25
4,m3,LYXBB,0.1
4,m3,MLVJZ,0.2
4,m3,MMOYA,0.15
4,m3,MNRLM,0.1
4,m3,MQOED,0.8
4,m3,MREFB,0.1
4,m3,MUPMA,0.6
4,m3,MYWHH,0.2
4,m3,NLTVU,0.05
4,m3,NQYQN,0.3
4,m3,OAKPV,0.05
4,m3,OCSVL,0.75
4,m3,ODNWH,0.05
4,m3,OOJMX,0.1
4,m3,OPAXV,0.15
4,m3,PEOLU,0.2
4,m3,PHTZT,0.1
4,m3,POXNY,0.05
4,m3,PYBWP,0.7
4,m3,PZCZV,0.15
4,m3,QECXS,0.02
4,m3,QHNUD,0.05
4,m3,QKAZU,0.2
4,m3,QRVVY,0.25
4,m3,QVBAP,0.25
4,m3,QXEPS,0.1
4,m3,REAVM,0.1
4,m3,RLFXE,0
4,m3,RRFWI,0.35
4,m3,RRKTM,0.6
4,m3,RSFYN,0.25
4,m3,SIBYL,0.25
4,m3,SLETN,0.05
4,m3,SLKSA,0.1
4,m3,SNJRM,0.5
4,m3,TPCGC,0.5
4,m3,USYLJ,0.25
4,m3,UUYLF,0.1
4,m3,UWXVV,0.1
4,m3,VTIEK,0.4
4,m3,VTWWG,0.05
4,m3,VWIIZ,0.2
4,m3,VWQJN,0.4
4,m3,VWTHZ,0.7
4,m3,WOZHY,0.15
4,m3,WSKMW,0
4,m3,WTZSC,0.3
4,m3,WVBUA,0.1
4,m3,XCRTP,0.2
4,m3,XYJIX,0.1
4,m3,YEXRD,0.5
4,m3,YGDVU,0.25
4,m3,YHEMK,0.25
4,m3,YHGBZ,0
4,m3,YIPBA,0.2
4,m3,YSSFZ,0.03
4,m3,ZCZJN,0.25
4,m3,ZDOYC,0
5,m2,AGNPX,
5,m2,AIRBM,
5,m2,ARLEI,
5,m2,BBECX,
5,m2,BHPTI,
5,m2,BIYDE,
5,m2,BKCFP,
5,m2,BNPKB,
5,m2,BZRFC,
5,m2,CHIBT,
5,m2,CHJWI,
5,m2,COGEW,
5,m2,CUCGB,
5,m2,CYLLX,
5,m2,CYWGM,
5,m2,DBEOL,
5,m2,DCRKI,
5,m2,DLIYI,
5,m2,DOPFI,
5,m2,DPJYN,
5,m2,DRIUI,
5,m2,DSMMR,
5,m2,DUYEG,
5,m2,EDRGS,
5,m2,EFVYH,
5,m2,EMHKN,
5,m2,FDEEF,
5,m2,FGOQM,
5,m2,FTHMZ,
5,m2,FZDWW,
5,m2,FZMNK,
5,m2,GLFJZ,
5,m2,GZRWQ,
5,m2,HARNQ,
5,m2,HBEWR,
5,m2,HBQXZ,
5,m2,HEJKB,
5,m2,HFNSC,
5,m2,HJBDQ,
5,m2,HJEZS,
5,m2,IBCCH,
5,m2,ITXLG,
5,m2,IXRCJ,
5,m2,JAYYJ,
5,m2,JDVOM,
5,m2,JFFDX,
5,m2,JJAGL,
5,m2,JUSNB,
5,m2,JVWRC,
5,m2,JXCTF,
5,m2,KBPUC,
5,m2,KCPRJ,
5,m2,KIYTT,
5,m2,KRWHP,
5,m2,KSQVW,
5,m2,LFMEQ,
5,m2,LYFOV,
5,m2,MHKGW,
5,m2,MLXQY,
5,m2,MPQVV,
5,m2,MWDSM,
5,m2,MWTSC,
5,m2,MXZEG,
5,m2,NDNSG,
5,m2,NERZB,
5,m2,OEXJH,
5,m2,OJYDQ,
5,m2,OLPSA,
5,m2,OPSPN,
5,m2,OTJYA,
5,m2,PDSGL,
5,m2,PGVWP,
5,m2,PPZPY,
5,m2,PVBVQ,
5,m2,PWJJQ,
5,m2,QCTQV,
5,m2,QRNNV,
5,m2,QYBZC,
5,m2,RJKJF,
5,m2,RKDZV,
5,m2,RKTOH,
5,m2,RQOBK,
5,m2,RTXTZ,
5,m2,RZIII,
5,m2,SKXRF,
5,m2,SNNRO,
5,m2,SOOYS,
5,m2,SVOWQ,
5,m2,SXMNT,
5,m2,TDFNU,
5,m2,TDLLY,
5,m2,TICTG,
5,m2,TLEEF,
5,m2,TNUTC,
5,m2,TPMTB,
5,m2,TQUSO,
5,m2,TVNAD,
5,m2,TYDLF,
5,m2,TZHAK,
5,m2,UFEYS,
5,m2,UONRK,
5,m2,UXMBH,
5,m2,UYSCS,
5,m2,VBFGR,
5,m2,VEOXL,
5,m2,VHWFI,
5,m2,VQQGL,
5,m2,VSYYJ,
5,m2,WEESC,
5,m2,WEZFA,
5,m2,WOVCG,
5,m2,WTOCY,
5,m2,WUKAA,
5,m2,XDCSW,
5,m2,XEPOZ,
5,m2,XJMAV,
5,m2,XMREM,
