study,treatment,pid,m3_b3
1,m2,AGNPX,
1,m2,AIRBM,
1,m2,ARLEI,
1,m2,BBECX,
1,m2,BHPTI,
1,m2,BIYDE,
1,m2,BKCFP,
1,m2,BNPKB,
1,m2,BZRFC,
1,m2,CHIBT,
1,m2,HBQXZ,
1,m2,HEJKB,
1,m2,HFNSC,
1,m2,HJBDQ,
1,m2,HJEZS,
1,m2,IBCCH,
1,m2,ITXLG,
1,m2,IXRCJ,
1,m2,JAYYJ,
1,m2,JDVOM,
1,m2,JFFDX,
1,m2,JJAGL,
1,m2,JUSNB,
1,m2,JVWRC,
1,m2,JXCTF,
1,m2,KBPUC,
1,m2,KCPRJ,
1,m2,KIYTT,
1,m2,KRWHP,
1,m2,KSQVW,
1,m2,LFMEQ,
1,m2,LYFOV,
1,m2,MHKGW,
1,m2,MLXQY,
1,m2,MPQVV,
1,m2,MWDSM,
1,m2,MWTSC,
1,m2,MXZEG,
1,m2,NDNSG,
1,m2,NERZB,
1,m2,OEXJH,
1,m2,OJYDQ,
1,m2,OLPSA,
1,m2,OPSPN,
1,m2,OTJYA,
1,m2,PDSGL,
1,m2,PGVWP,
1,m2,PPZPY,
1,m2,PVBVQ,
1,m2,PWJJQ,
1,m2,QCTQV,
1,m2,QRNNV,
1,m2,QYBZC,
1,m2,RJKJF,
1,m2,RKDZV,
1,m2,RKTOH,
1,m2,RQOBK,
1,m2,RTXTZ,
1,m2,RZIII,
1,m2,SKXRF,
1,m2,SNNRO,
1,m2,SOOYS,
1,m2,SVOWQ,
1,m2,SXMNT,
1,m2,TDFNU,
1,m2,TDLLY,
1,m2,TICTG,
1,m2,TLEEF,
1,m2,TNUTC,
1,m2,TPMTB,
1,m2,TQUSO,
1,m2,TVNAD,
1,m2,TYDLF,
1,m2,TZHAK,
1,m2,UFEYS,
1,m2,UONRK,
1,m2,UXMBH,
1,m2,UYSCS,
1,m2,VBFGR,
1,m2,VEOXL,
1,m2,VHWFI,
1,m2,VQQGL,
1,m2,VSYYJ,
1,m2,WEESC,
1,m2,WEZFA,
1,m2,WOVCG,
1,m2,WTOCY,
1,m2,WUKAA,
1,m2,XDCSW,
1,m2,XEPOZ,
1,m2,XJMAV,
1,m2,XMREM,
1,m2,XPQFY,
1,m2,YIQTI,
1,m2,YJPRG,
1,m2,YKWAH,
1,m2,YMKYG,
1,m2,YPCFD,
1,m2,YQXIE,
1,m2,YUMWF,
1,m2,YYYQL,
1,m2,ZHMDL,
1,m2,ZJGNP,
1,m3,AFKFA,0.600000024
1,m3,AYJQH,0.600000024
1,m3,BGRYT,1
1,m3,BNSRX,0.970000029
1,m3,BRCTI,0.800000012
1,m3,BUTQG,0.899999976
1,m3,BXBPO,1
1,m3,BYUFT,0.970000029
1,m3,CQEXW,0.400000006
1,m3,CTDTP,0.400000006
1,m3,CTPQT,0.5
1,m3,DDLIA,0.699999988
1,m3,DMIIF,0.949999988
1,m3,DOPUB,1
1,m3,EALGQ,0.899999976
1,m3,EXHNR,0.050000001
1,m3,FFVHW,0.899999976
1,m3,FJTDI,0.699999988
1,m3,FOMBY,0.850000024
1,m3,FRHWQ,0.949999988
1,m3,GCPKB,1
1,m3,GFHGK,0.899999976
1,m3,GLYRR,0.800000012
1,m3,GOQTH,0.600000024
1,m3,HDWQD,0.400000006
1,m3,HKTWT,0.800000012
